comment,toxic
Мастер вообще не знает свою работу.,1
"Классный сервис, приду ещё!",0
Работа выполнена на высоком уровне.,0
"Спасибо за работу, все отлично!",0
Мастер вообще не знает свою работу.,1
Все сделали быстро и качественно.,0
"Хамское отношение, испортили настроение.",1
"Ужасная работа, всё переделывать!",1
Мастер вообще не знает свою работу.,1
Грубят и ничего не делают нормально.,1
Работа выполнена на высоком уровне.,0
Делают всё криво и долго.,1
Совсем некомпетентные сотрудники.,1
"Спасибо за работу, все отлично!",0
Делают всё криво и долго.,1
"Цены приятные, обслуживание супер.",0
"Ужасная работа, всё переделывать!",1
Все сделали быстро и качественно.,0
Очень понравилось обслуживание.,0
Отличный результат!,0
Работа выполнена на высоком уровне.,0
"Классный сервис, приду ещё!",0
Очень понравилось обслуживание.,0
Очень вежливый персонал.,0
"Полная ерунда, никогда больше сюда не приду.",1
"Классный сервис, приду ещё!",0
"Спасибо за работу, все отлично!",0
"Хамское отношение, испортили настроение.",1
Работа выполнена на высоком уровне.,0
Все сделали быстро и качественно.,0
Очень понравилось обслуживание.,0
Отличный результат!,0
"Хамское отношение, испортили настроение.",1
"Сервис ниже нуля, деньги на ветер.",1
Работа выполнена на высоком уровне.,0
Очень понравилось обслуживание.,0
"Ужасная работа, всё переделывать!",1
"Хороший мастер, рекомендую!",0
Совсем некомпетентные сотрудники.,1
"Ужасная работа, всё переделывать!",1
Совсем некомпетентные сотрудники.,1
Очень понравилось обслуживание.,0
Очень понравилось обслуживание.,0
"Классный сервис, приду ещё!",0
Грубят и ничего не делают нормально.,1
"Спасибо за работу, все отлично!",0
Очень понравилось обслуживание.,0
"Удивлён, как хорошо всё прошло!",0
Делают всё криво и долго.,1
"Цены приятные, обслуживание супер.",0
Мастер вообще не знает свою работу.,1
"Удивлён, как хорошо всё прошло!",0
"Удивлён, как хорошо всё прошло!",0
"Полная ерунда, никогда больше сюда не приду.",1
"Полный кошмар, никому не советую!",1
Очень вежливый персонал.,0
Мастер вообще не знает свою работу.,1
"Удивлён, как хорошо всё прошло!",0
"Хороший мастер, рекомендую!",0
"Спасибо за работу, все отлично!",0
Работа выполнена на высоком уровне.,0
"Отвратительное качество, разочарован.",1
Работа выполнена на высоком уровне.,0
"Отвратительное качество, разочарован.",1
Работа выполнена на высоком уровне.,0
Грубят и ничего не делают нормально.,1
"Хороший мастер, рекомендую!",0
Грубят и ничего не делают нормально.,1
"Полная ерунда, никогда больше сюда не приду.",1
"Полный кошмар, никому не советую!",1
Все сделали быстро и качественно.,0
"Классный сервис, приду ещё!",0
"Хамское отношение, испортили настроение.",1
"Хамское отношение, испортили настроение.",1
Грубят и ничего не делают нормально.,1
"Удивлён, как хорошо всё прошло!",0
"Спасибо за работу, все отлично!",0
"Ужасная работа, всё переделывать!",1
"Цены приятные, обслуживание супер.",0
Очень вежливый персонал.,0
"Хороший мастер, рекомендую!",0
"Ужасная работа, всё переделывать!",1
"Хамское отношение, испортили настроение.",1
"Отвратительное качество, разочарован.",1
Отличный результат!,0
Отличный результат!,0
Совсем некомпетентные сотрудники.,1
"Хороший мастер, рекомендую!",0
"Ужасная работа, всё переделывать!",1
"Ужасная работа, всё переделывать!",1
Совсем некомпетентные сотрудники.,1
Работа выполнена на высоком уровне.,0
"Удивлён, как хорошо всё прошло!",0
Все сделали быстро и качественно.,0
"Полная ерунда, никогда больше сюда не приду.",1
"Цены приятные, обслуживание супер.",0
"Полная ерунда, никогда больше сюда не приду.",1
"Полный кошмар, никому не советую!",1
Делают всё криво и долго.,1
"Полная ерунда, никогда больше сюда не приду.",1
Мастер вообще не знает свою работу.,1
Мастер вообще не знает свою работу.,1
